标题,地址,小区,户型,面积,楼层,月租,出租类型,朝向,有无电梯,地铁
免佣月付一个月起租看丹桥总部基地附近正规主次卧随时入住,丰台-看丹桥 丰台南路,韩庄子西里,3室1厅,6平米,中层(共6层),1600,合租,朝南,无,9号线
（适合小情侣）朝向南开间  家具家电齐全  随时看  精装修,海淀-清河 朱房路,强佑清河新城(西区),1室1厅,52平米,低层(共29层),5700,整租,朝南,有,8号线
首佽出租 南关地铁站附近 精装修 包物业取暖 良乡华冠附近,房山-良乡 罗府街134号,署前街家园,2室1厅,80平米,高层(共6层),3300,整租,朝南,无,房山线
中兴家园超低价急租！东南向大客厅三卧朝南带车位居家办公可长租,海淀-公主坟 玉渊潭南路17号,中兴家园,3室1厅,171.5平米,高层(共20层),17000,整租,东南,有,1/9/10号线
租期灵活！东大桥路3居1卫户型 1号线永安里三里屯,朝阳-东大桥 东大桥路,东大桥路小区,3室1厅,76平米,共5层,8000,整租,南北,无,1/2/6/10号线
梨花园 2室1厅1卫 62平 配套齐全 南北通透,通州-梨园 梨园北街,梨花园,2室1厅,62.4平米,中层(共6层),4600,整租,南北,无,八通线
融科香雪兰溪 2室2厅1卫 配套齐全 豪华装修 电梯房,通州-马驹桥 景盛北二街3号,融科香雪兰溪,2室2厅,84.9平米,低层(共18层),4000,整租,朝南,有,无
主卧独卫带大阳台，马连洼肖家河，圆明园花园，农大，树村软件园,海淀-马连洼 圆明园西路88号,圆明园花园,5室1厅,27平米,高层(共6层),3400,合租,朝南,无,16号线
北京像素北区 3室1厅2卫 精装修 配套齐全 18平,朝阳-常营 五里桥二街1号,中弘北京像素北区,3室1厅,18平米,高层(共17层),1699,合租,朝南,有,6号线
温泉花园(A区) 中楼层 精装修2室 家具家电齐全 拎包即住,昌平-北七家 立汤路,温泉花园(A区),2室1厅,63平米,中层(共6层),3300,整租,南北,无,无
保利罗兰香谷 毛条小区 一通小区 福田 包物业取暖 无中介费,昌平-沙河 沙阳路34号,保利罗兰香谷,3室1厅,20平米,低层(共15层),1550,合租,朝南,有,无
可月租可月付 无佣金双花园南里(一区)3室1厅1卫 精装修,朝阳-双井 广和里中街,双花园南里(一区),3室1厅,15平米,高层(共6层),2300,合租,朝南,无,7/10号线
出租通州合景中心  可空房 可配齐 主卧带浴缸 随时看房,通州-新华大街 滨河中路,合景中心,3室2厅,117平米,中层(共29层),8800,整租,西北,有,6号线
西便门大街 广安门中医院 广安门地铁 合租主卧有电梯有暖气,西城-长椿街 广安门北街,广安门北街20号小区,3室1厅,25平米,低层(共19层),2500,合租,朝南,有,1/2/7号线
科技园看丹桥九号线科怡路欧尚韩庄子二里次卧随时入住,丰台-看丹桥 丰台南路,韩庄子二里,3室1厅,15平米,低层(共6层),1799,合租,朝北,无,9号线
苹果园八大处银保园主卧带独西山枫林四期中楼层3居室,石景山-八大处 八大处路甲26号,西山枫林(四区),3室1厅,18平米,高层(共6层),2300,合租,朝南,无,无
高碑店金隅汇星苑低楼层3居室主卧,朝阳-朝青板块 大黄庄西路3号,金隅汇星苑,3室1厅,18平米,低层(共29层),2300,合租,朝南,有,6号线
酒仙桥 东坝 坝鑫家园 全齐一居室 拿包入住 价格便宜,朝阳-东坝 单店西路2号,坝鑫家园,1室1厅,60平米,低层(共21层),4500,整租,朝南,无,无
可月付 可短住 西土城 知春路 牡丹园 北医三院 花园路,海淀-学院路 花园北路48号,花园北路48号院,4室1厅,10平米,高层(共18层),2200,合租,东北,有,10/13/19号线
首月租金减半 肖家肖家河主卧独卫，农大南路地铁，中关村科技园,海淀-肖家河 圆明园西路,正黄旗西区,3室1厅,20平米,中层(共10层),3800,合租,朝南,有,16号线/4号线大兴线
4号线公益西桥地铁口 东亚3环 朝南 精装一居 电梯房,丰台-马家堡 马家堡西路36号,东亚三环,1室0厅,34.8平米,低层(共25层),4100,整租,朝南,有,10号线/4号线大兴线
可月付 无中介费 华贸城精装修次卧 干净整洁 看房随时,朝阳-北苑 水岸南街7号,华贸城(7号院),4室1厅,10平米,中层(共17层),2100,合租,朝南,有,13号线
亚运村 风格派 一居室 近地铁 高层南向 采光明亮,朝阳-亚运村 北苑路甲166号,风格派,1室1厅,68平米,高层(共22层),7000,整租,西南,有,5/15号线
（优惠价）强佑 精装大两居 高层 近地铁 价格能聊,海淀-清河 京藏高速,强佑清河新城(东区),2室2厅,98.2平米,高层(共25层),8200,整租,朝东,有,8号线
新上房源，南海家园精装两居，现房临近大族康龙化成龙湖天街同仁,大兴-亦庄 泰河一街,南海家园一里,2室1厅,90平米,中层(共18层),4500,整租,南北,有,无
北关附近 友谊医院对面 通瑞嘉苑 大窗户采光好 月付 无中介,通州-潞苑 潞苑东路,通瑞嘉苑,3室1厅,10平米,中层(共22层),1100,合租,朝西,有,无
看房随时 价格便宜 紧邻地铁 精美装修 舒适宜居,通州-北关 滨惠北一街3号,新光大中心,1室1厅,59.5平米,高层(共41层),4600,整租,西北,有,6号线
六号线通州北关万达广场附近低楼层精装修三居,通州-永顺 通惠河北沿河路,永顺南里2号院,3室1厅,100.8平米,中层(共6层),4999,整租,南北,无,6号线
尚品台湖精装一居复式，全屋定制家具，领包即住,通州-台湖镇 胡家垡村甲8号,东亚尚品台湖,1室1厅,39平米,高层(共15层),3200,整租,朝西,有,无
押一付一 免租一个月龙山家园一号院次卧 包网包维修 近快四站,门头沟-大峪 黑山大街,龙山家园1号院,3室1厅,13平米,低层(共17层),1200,合租,朝南,有,无
云泽嘉苑 小园地铁S1线 精装修 直达金安桥杨庄 配套齐全,门头沟-永定 紫金路,云泽嘉苑,3室1厅,10平米,中层(共31层),1100,合租,朝南,有,S1线
精装修主卧 紧邻华为环保园稻香湖谱尼人寿翠湖云随时能住装修好,海淀-温泉 温泉路,白家疃尚品园,3室1厅,18平米,共5层,2000,合租,朝南,有,无
武夷花园社区 K2百合湾东区精装三居 随时能看 拎包住,通州-武夷花园 通胡大街70号,K2百合湾,3室1厅,87.6平米,低层(共20层),6500,整租,南北,有,无
国贸，双井，广渠门外大街，永安里，建外soho，双花园主卧,朝阳-双井 广和里中街,双花园南里(一区),4室2厅,25平米,高层(共22层),2599,合租,朝南,有,7/10号线
泥洼地铁口 盛鑫嘉园 精装主卧带阳台次卧出租,丰台-丰益桥 丰管路5号,盛鑫嘉园,2室2厅,20平米,中层(共26层),2200,合租,朝南,有,9/10/14号线/房山线
可月付 康润家园 新华国际 南北通透三居室 有钥匙 全齐全齐,丰台-世界公园 京垡路,康润家园东区,3室1厅,101平米,中层(共21层),6099,整租,朝南,有,无
大河庄苑 1室2厅1卫 主卧朝南 客厅带阳台,海淀-中关村 苏州街3号,大河庄苑,1室2厅,62.9平米,低层(共16层),8000,整租,东南,有,10/16号线/西郊线/4号线大兴线
实地拍摄丨新光大高层视野好丨下楼北关地铁丨可月付养宠物,通州-北关 滨惠北一街3号,新光大中心,1室1厅,47平米,高层(共41层),4400,整租,西北,有,6号线
急急急地铁6号线北运河东站，精装三室，交通方便，，，,通州-潞城 紫运东路,紫运中路28号院,3室1厅,17平米,低层(共30层),1600,合租,朝南,有,6号线
16号线北安河地铁站，安河小区，精装次卧出租，随时看随时入住,海淀-苏家坨 北清路,安河家园九里,3室1厅,16平米,中层(共15层),1760,合租,朝北,有,16号线
朝阳 东坝 悦和园 正规三居 出租 看房随时 包物业取暖,朝阳-东坝 平房路,金隅悦和园,3室1厅,88平米,中层(共21层),5700,整租,南北,有,无
九棵树地铁口 玉兰湾 家乐福领展中心 交通生活都便利无中介费,通州-九棵树 怡乐北街,K2玉兰湾,4室1厅,20平米,中层(共27层),1900,合租,朝南,有,八通线
实图实价 宋家庄地铁 首开福茂旁 宋家庄家园精装一居室,丰台-宋家庄 石榴庄路,宋家庄家园,1室1厅,50平米,高层(共30层),5200,整租,朝南,有,5/10号线/亦庄线
实图实价纪家庙地铁口万兴家居博仁医院亿朋苑精装一居室随时入住,丰台-玉泉营 南三环西路,郑王坟280号院,1室1厅,78平米,共3层,4300,整租,南北,无,10/19号线/房山线
双地铁4号线19号线南庭新苑合顺家园新宫家园御槐园精装两居,丰台-新宫 槐房西路316号,南庭新苑北区,2室1厅,58平米,中层(共16层),4800,整租,南北,有,19号线/4号线大兴线
回龙观龙泽地铁龙华园东区2室1厅 集中供暖,昌平-回龙观 回龙观西大街1号,龙华园(东区),2室1厅,80.8平米,高层(共6层),6300,整租,南北,无,8/13号线
何各庄村单间公寓出租,朝阳-孙河 顺白路,何各庄村住房,1室0厅,18平米,共3层,1500,整租,南北,无,15号线
通州北关地铁保利一居复试双卫家电家具齐全包物业取暖押一付一,通州-北关 新华北路,保利大都汇,1室1厅,45.1平米,低层(共22层),4899,整租,西北,有,6号线
可月付 短住 7号线万盛东 精装一居室 可随时看房 拎包即住,通州-梨园 曹园南街,永丰里E区,1室1厅,57平米,中层(共18层),3200,整租,朝南,有,7号线
京旺家园1800大主卧！大阳台高层近望京酒仙桥798兆维,朝阳-朝阳周边 金港南路,京旺家园四区,2室1厅,24平米,中层(共11层),1800,合租,朝南,有,无
押一付一 云翔嘉苑一居室 包维修 临近S1地铁小园站交通方便,门头沟-永定 龙林路,云翔嘉苑,1室1厅,47平米,低层(共28层),2980,整租,朝南,有,S1线
保利罗兰香谷 毛条小区 一通小区 福田 包物业取暖 无中介费,昌平-沙河 沙阳路34号,保利罗兰香谷,3室1厅,20平米,低层(共15层),1550,合租,朝南,有,无
通州北关地铁保利一居复试双卫家电家具齐全智能锁包物业押一付一,通州-北关 新华北路,保利大都汇,1室1厅,52.1平米,高层(共18层),4998,整租,西南,有,6号线
实地拍摄丨侨商公寓开间丨北关地铁A口300米丨世贸服务公寓丨,通州-北关 新华北路,世界侨商中心,1室1厅,41.9平米,低层(共27层),3700,整租,西北,有,6号线
东管头 万泉盛景园 丽泽商务区 中国戏曲学院 万润风景两居室,丰台-菜户营 万泉寺256号,万润风景,2室1厅,89平米,中层(共20层),6500,整租,南北,有,14号线/房山线
国贸舒适1居，宽敞客厅，潮玩配件，出门即商圈,朝阳-建外大街 金汇路7号,中骏世界城,1室2厅,77平米,高层(共31层),15000,整租,朝北,有,1/6/10号线
首月租金减半 肖家肖家河主卧独卫，农大南路地铁，中关村科技园,海淀-肖家河 圆明园西路,正黄旗西区,3室1厅,20平米,中层(共10层),3800,合租,朝南,有,16号线/4号线大兴线
16号线北安河地铁站，安河小区，精装次卧出租，随时看随时入住,海淀-苏家坨 北清路,安河家园九里,3室1厅,16平米,中层(共15层),1760,合租,朝北,有,16号线
双地铁4号线19号线南庭新苑合顺家园新宫家园御槐园精装两居,丰台-新宫 槐房西路316号,南庭新苑北区,2室1厅,58平米,中层(共16层),4800,整租,南北,有,19号线/4号线大兴线
首佽出租 南关地铁站附近 精装修 包物业取暖 良乡华冠附近,房山-良乡 罗府街134号,署前街家园,2室1厅,80平米,高层(共6层),3300,整租,朝南,无,房山线
4号线公益西桥地铁口 东亚3环 朝南 精装一居 电梯房,丰台-马家堡 马家堡西路36号,东亚三环,1室0厅,34.8平米,低层(共25层),4100,整租,朝南,有,10号线/4号线大兴线
北关附近 友谊医院对面 通瑞嘉苑 大窗户采光好 月付 无中介,通州-潞苑 潞苑东路,通瑞嘉苑,3室1厅,10平米,中层(共22层),1100,合租,朝西,有,无
苏州桥 北理工 万泉河温馨大主卧 租户近期的到期 找干净租户,海淀-苏州桥 万泉河路,小南庄社区,3室1厅,16平米,低层(共6层),3255,合租,朝南,无,10/16号线/4号线大兴线
北三环 马甸桥西 国美电器 裕中西里,西城-德胜门 北三环中路,裕中西里,3室1厅,10平米,中层(共17层),2200,合租,西南,有,8/10/19号线
实图实价纪家庙地铁口万兴家居博仁医院亿朋苑精装一居室随时入住,丰台-玉泉营 南三环西路,郑王坟280号院,1室1厅,78平米,共3层,4300,整租,南北,无,10/19号线/房山线
地铁六号线常营 北辰福第 东向阳台次卧 全女生 可月付 超值,朝阳-常营 常营北小街2号,北辰福第(中区),3室1厅,12平米,低层(共27层),1800,合租,朝东,有,6号线
高碑店金隅汇星苑低楼层3居室主卧,朝阳-朝青板块 大黄庄西路3号,金隅汇星苑,3室1厅,18平米,低层(共29层),2300,合租,朝南,有,6号线
低密度，可办工，可居家，4室2厅，带车位，CLASS果岭里,朝阳-望京 广泽路6号,CLASS果岭里,4室2厅,239平米,中层(共6层),31000,整租,南北,有,14/15号线
实图实价 宋家庄地铁 首开福茂旁 宋家庄家园精装一居室,丰台-宋家庄 石榴庄路,宋家庄家园,1室1厅,50平米,高层(共30层),5200,整租,朝南,有,5/10号线/亦庄线
何各庄村单间公寓出租,朝阳-孙河 顺白路,何各庄村住房,1室0厅,18平米,共3层,1500,整租,南北,无,15号线
北京像素北区 3室1厅2卫 精装修 配套齐全 18平,朝阳-常营 五里桥二街1号,中弘北京像素北区,3室1厅,18平米,高层(共17层),1699,合租,朝南,有,6号线
新上实拍！大悦城 达美中心 东坝汇景苑两室 有钥匙随时看房,朝阳-东坝 平房路,汇景苑四区,2室1厅,85.9平米,中层(共28层),6200,整租,朝南,有,无
泥洼地铁口 盛鑫嘉园 精装主卧带阳台次卧出租,丰台-丰益桥 丰管路5号,盛鑫嘉园,2室2厅,20平米,中层(共26层),2200,合租,朝南,有,9/10/14号线/房山线
国贸大望路光辉南里71平米两居，南北通透，精装修,朝阳-大望路 建国路,光辉南里小区,2室1厅,70.4平米,中层(共6层),7300,整租,南北,有,1/10/14号线
云泽嘉苑 小园地铁S1线 精装修 直达金安桥杨庄 配套齐全,门头沟-永定 紫金路,云泽嘉苑,3室1厅,10平米,中层(共31层),1100,合租,朝南,有,S1线
西便门大街 广安门中医院 广安门地铁 合租主卧有电梯有暖气,西城-长椿街 广安门北街,广安门北街20号小区,3室1厅,25平米,低层(共19层),2500,合租,朝南,有,1/2/7号线
新宫地铁站4加19号线双地铁单间随时看房随时入职,丰台-新宫 槐房北路2号,德鑫嘉园,3室1厅,14平米,高层(共6层),1450,合租,朝南,无,19号线/4号线大兴线
京旺主卧出租温馨干净近望京酒仙桥798恒通电子园绿地中心,朝阳-朝阳周边 金港南路,京旺家园二区,2室1厅,15平米,低层(共10层),1838,合租,朝南,有,无
实地拍摄丨可月付丨养宠物丨负责后期维修丨下楼北关地铁A口丨,通州-北关 新华北路,世界侨商中心,1室1厅,42.4平米,高层(共19层),4600,整租,朝南,有,6号线
出租通州合景中心  可空房 可配齐 主卧带浴缸 随时看房,通州-新华大街 滨河中路,合景中心,3室2厅,117平米,中层(共29层),8800,整租,西北,有,6号线
